UID        PID  PPID  C STIME TTY          TIME CMD
ben       1838  1068  0 13:42 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.5 /org/gtk/gvfs/exec_spaw/5
ben       1888  1068  0 13:43 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
ben       1902  1068  0 13:43 ?        00:00:01 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
ben       1903  1068  0 13:43 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
ben       2021  1338  0 13:43 ?        00:00:01 update-notifier
ben       2051  1338  0 13:44 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      2467  1068  0 14:08 ?        00:00:00 sudo ./keylogger
root      2468  2467  0 14:08 ?        00:00:00 ./keylogger
root      2529  1068  0 14:13 ?        00:00:00 sudo ./keylogger
root      2530  2529  0 14:13 ?        00:00:00 ./keylogger
ben       2831  1068  0 14:53 ?        00:00:03 /usr/lib/x86_64-linux-gnu/notify-osd
ben       4745  1068  0 18:22 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
root      4920     2  0 18:31 ?        00:00:00 [kworker/0:0]
root      5324   727  0 18:37 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp0s3.pid -lf /var/lib/NetworkManager/dhclient-a499a77a-48a4-4423-8810-55dd055ac855-enp0s3.lease -cf /var/lib/NetworkManager/dhclient-enp0s3.conf enp0s3
root      6319  1068  0 18:51 ?        00:00:00 dbus-launch --autolaunch=5b58a7c6c019482388aa830d386b8a09 --binary-syntax --close-stderr
root      6320  1068  0 18:51 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
root      6324  1068  0 18:51 ?        00:00:01 /usr/lib/x86_64-linux-gnu/notify-osd
root      6328  1068  0 18:51 ?        00:00:00 /usr/lib/gvfs/gvfsd
root      6333  1068  0 18:51 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /home/ben/.gvfs -f -o big_writes
root      6342  1068  0 18:51 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
ben       7230  1068  0 18:56 ?        00:00:13 /usr/lib/gnome-terminal/gnome-terminal-server
ben       7242  7230  0 18:56 pts/22   00:00:00 bash
root     16148     2  0 19:09 ?        00:00:00 [xfsalloc]
root     16149     2  0 19:09 ?        00:00:00 [xfs_mru_cache]
root     16152     2  0 19:09 ?        00:00:00 [jfsIO]
root     16153     2  0 19:09 ?        00:00:00 [jfsCommit]
root     16154     2  0 19:09 ?        00:00:00 [jfsCommit]
root     16155     2  0 19:09 ?        00:00:00 [jfsSync]
root     16190     2  0 19:09 ?        00:00:00 [bioset]
root     22860     2  0 19:11 ?        00:00:00 [kworker/1:0]
root     23054     2  0 19:14 ?        00:00:00 [kworker/u4:1]
root     23196     2  0 19:17 ?        00:00:00 [kworker/0:1]
root     24198     2  0 19:35 ?        00:00:00 [kworker/1:1]
ben      24278  1068  3 19:38 ?        00:00:19 gedit /home/ben/Goatware/Goatware/keylogger.c
root     24322     2  0 19:39 ?        00:00:00 [kworker/u4:2]
root     24578  1068  0 19:49 pts/22   00:00:00 [bioset]
root     24579  7242  0 19:49 pts/22   00:00:00 sudo ./main
root     24580 24579  0 19:49 pts/22   00:00:00 ./main
root     24584  1068  0 19:49 pts/22   00:00:00 [ipv6_addrconf]
root     24590 24580  0 19:49 pts/22   00:00:00 sh -c /bin/sh -c 'ps -aef > processes.txt'
root     24591 24590  0 19:49 pts/22   00:00:00 /bin/sh -c ps -aef > processes.txt
root     24592 24591  0 19:49 pts/22   00:00:00 ps -aef
