UID        PID  PPID  C STIME TTY          TIME CMD
ryanliu9  3234  2947  0 18:59 ?        00:00:00 nm-applet
ryanliu9  3239  2947  0 18:59 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
ryanliu9  3293  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
ryanliu9  3294  3232  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3232x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3232/2
root      3297     1  0 18:59 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
ryanliu9  3320  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
ryanliu9  3323  2655  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
root      3326     1  0 18:59 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
ryanliu9  3327  3232  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3232x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3232/3
ryanliu9  3336  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
ryanliu9  3343  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
ryanliu9  3348  3323  0 18:59 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3323x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3323/2
ryanliu9  3351  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
ryanliu9  3386  2655  0 18:59 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
ryanliu9  3425  2655  0 19:00 ?        00:00:51 /usr/lib/firefox/firefox
ryanliu9  3475  2655  0 19:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
ryanliu9  3501  2655  0 19:00 ?        00:00:19 /usr/lib/gnome-terminal/gnome-terminal-server
ryanliu9  3507  3501  0 19:00 pts/17   00:00:00 bash
ryanliu9  3552  2947  0 19:00 ?        00:00:00 zeitgeist-datahub
ryanliu9  3559  2655  0 19:00 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
ryanliu9  3563  3559  0 19:00 ?        00:00:00 /usr/bin/zeitgeist-daemon
ryanliu9  3572  2655  0 19:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
ryanliu9  3620  2947  0 19:00 ?        00:00:00 update-notifier
